大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
項次,縣市別,"鄉鎮
市區",路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位,"公告日期
及文號",,,,
126,新北市,三峽區,農北峽012,插角、金龍橋,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
127,新北市,三峽區,農北峽013,"
金圳、金敏產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
128,新北市,三峽區,農北峽017,"
中坑產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
129,新北市,三峽區,農北峽016,"
外詩朗農路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
130,新北市,三峽區,農北峽018,"
內詩朗產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
131,新北市,三峽區,農北峽019,"
內詩朗產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
132,新北市,三峽區,"五寮里10鄰農路
",黎明橋,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
133,新北市,三峽區,有木里水車寮農路,"
水車寮產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
134,新北市,三峽區,插角里8鄰農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
135,新北市,三峽區,插角里9鄰農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
136,新北市,三峽區,安坑農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
137,新北市,三峽區,頭寮坑路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
138,新北市,三峽區,白石鞍路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
139,新北市,三峽區,金圳里外插角金敏產業道路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
140,新北市,三峽區,有木里水車寮路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
141,新北市,三峽區,有木里合益路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
142,新北市,三峽區,有木里大營路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
143,新北市,三峽區,有木里明山路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
144,新北市,三峽區,有木里紅龜面,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
145,新北市,三峽區,內詩朗外詩朗農路（12鄰）,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
146,新北市,三峽區,五寮里14鄰內詩朗產業道路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
147,新北市,三峽區,五寮里15鄰,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
148,新北市,三峽區,五寮里3鄰接11鄰,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
149,新北市,三峽區,粗坑農路,起點：介壽路二段138巷1弄98-4號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
150,新北市,土城區,農北土001,龍泉路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
151,新北市,土城區,農北土045,忠義路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
152,新北市,土城區,農北土峽002,南天母路、承天路、樟康湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
153,新北市,樹林區,農北樹001,三寶街、忠義街、光明產業道路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
154,新北市,樹林區,農北樹002,東和街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
155,新北市,樹林區,農北樹003,信和街、德和街、東和街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
