鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
大安區,車位,臺北市大安區仁愛路三段1~30號,0.14,住,,,10302,土地0建物0車位1,地下三層，地下四層，地下五層,014,其他,停車空間,見其他登記事項,0931220,40.53,0,0,0,有,有,2800000,,坡道平面,0.0,2800000
大安區,房地(土地+建物),臺北市大安區仁愛路四段391~420號,15.15,其他,,,10212,土地1建物1車位0,十一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721130,161.14,3,2,2,有,有,66000000,409582,,0.0,0
文山區,房地(土地+建物),臺北市文山區中崙路25巷1~30號,68.54,住,,,10212,土地1建物1車位0,一層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971113,131.93,3,2,2,有,有,28000000,212234,,0.0,0
文山區,房地(土地+建物),臺北市文山區景福街3巷1~30號,28.35,商,,,10301,土地5建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710518,102.27,3,2,2,有,無,16250000,158893,,0.0,0
大同區,土地,文昌段一小段31~60地號,55.0,住,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,149091,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區西園路二段181~210號,25.97,住,,,10212,土地4建物1車位1,六層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860811,265.27,3,2,2,有,無,5500000,20734,升降平面,0.0,0
信義區,房地(土地+建物),臺北市信義區吳興街156巷22弄1~30號,18.47,住,,,10301,土地1建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811110,123.6,3,2,2,有,有,23000000,186084,,0.0,0
北投區,土地,大屯段二小段181~210地號,2837.97,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,5285,,0.0,0
大安區,車位,臺北市大安區信義路四段91~120號,2.32,商,,,10301,土地0建物0車位1,地下三層,012,其他,停車空間,鋼筋混凝土造,0781012,45.94,0,0,0,有,有,1683708,,升降平面,0.0,1683708
大安區,房地(土地+建物),臺北市大安區光復南路290巷31~60號,25.81,住,,,10212,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,83.43,5,0,5,有,無,23000000,275680,,0.0,0
大安區,房地(土地+建物),臺北市大安區新生南路一段137巷1~30號,12.4,住,,,10301,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,43.53,4,2,2,有,無,16000000,367563,,0.0,0
大安區,房地(土地+建物),臺北市大安區新生南路一段137巷1~30號,24.8,住,,,10301,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.06,4,2,2,有,無,32000000,367563,,0.0,0
大安區,房地(土地+建物),臺北市大安區安和路一段21巷1~30號,33.15,住,,,10301,土地2建物1車位0,二層,007,店面(店鋪),住家用,鋼筋混凝土造,0680913,199.92999999999998,7,1,2,有,有,49600000,248087,,0.0,0
大安區,房地(土地+建物),臺北市大安區安和路二段1~30號,22.72,住,,,10301,土地2建物1車位0,九層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730508,151.36,4,2,2,有,有,42580000,281316,,0.0,0
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段405巷61~90號,44.41,住,,,10212,土地1建物1車位1,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740706,206.69000000000003,4,2,2,有,無,33000000,159659,坡道平面,29.98,0
士林區,房地(土地+建物),臺北市士林區華齡街35巷13弄1~30號,52.0,住,,,10212,土地1建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660804,137.54,4,2,2,有,無,10000000,72706,,0.0,0
北投區,土地,泉源段二小段631~660地號,0.15,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000,0,,0.0,0
北投區,土地,豐年段二小段871~900地號,1489.6,農,,,10301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,72096000,48400,,0.0,0
中山區,房地(土地+建物),臺北市中山區民權西路10巷1~30號,32.33,住,,,10212,土地1建物1車位0,三層,003,公寓(5樓含以下無電梯),,加強磚造,,79.19,3,2,1,有,無,8500000,107337,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路二段391~420號,3.0,商,,,10301,土地1建物1車位0,二層,013,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950823,31.14,1,1,1,有,有,11120000,357097,,0.0,0
